time,system_demand,demand_7da,temp
2023-01-01 00:00:00,21193.0,21553.63,56.89
2023-01-01 01:00:00,20695.0,20777.07,55.81
2023-01-01 02:00:00,20216.0,20202.82,54.66
2023-01-01 03:00:00,19928.0,19846.81,53.71
2023-01-01 04:00:00,20040.0,19730.31,53.49
2023-01-01 05:00:00,20353.0,20003.59,52.39
2023-01-01 06:00:00,20642.0,20552.23,51.6
2023-01-01 07:00:00,20533.0,20437.84,51.69
2023-01-01 08:00:00,20066.0,19574.27,52.34
2023-01-01 09:00:00,19613.0,18572.16,54.18
2023-01-01 10:00:00,19464.0,17768.64,55.8
2023-01-01 11:00:00,19441.0,17386.02,57.72
2023-01-01 12:00:00,19448.0,17333.94,59.02
2023-01-01 13:00:00,19680.0,17616.49,59.47
2023-01-01 14:00:00,19924.0,18371.91,59.38
2023-01-01 15:00:00,21044.0,19640.0,58.68
2023-01-01 16:00:00,22896.0,22085.08,57.61
2023-01-01 17:00:00,24858.0,24997.96,56.32
2023-01-01 18:00:00,25145.0,25294.94,55.22
2023-01-01 19:00:00,25004.0,24954.59,54.57
2023-01-01 20:00:00,24558.0,24315.46,53.67
2023-01-01 21:00:00,24047.0,23777.42,52.92
2023-01-01 22:00:00,22933.0,22697.22,52.57
2023-01-01 23:00:00,21805.0,21652.44,51.71
2023-01-02 00:00:00,21338.0,21374.03,51.87
2023-01-02 01:00:00,20680.0,20685.67,51.44
2023-01-02 02:00:00,20326.0,20085.0,50.56
2023-01-02 03:00:00,20369.0,19751.89,49.3
2023-01-02 04:00:00,20717.0,19670.58,48.4
2023-01-02 05:00:00,21726.0,20032.92,48.33
2023-01-02 06:00:00,22801.0,20630.93,48.27
2023-01-02 07:00:00,23142.0,20848.06,47.84
2023-01-02 08:00:00,23218.0,21079.22,48.94
2023-01-02 09:00:00,23604.0,21030.42,51.46
2023-01-02 10:00:00,23876.0,20903.25,54.61
2023-01-02 11:00:00,24539.0,20792.12,55.33
2023-01-02 12:00:00,24816.0,20659.91,57.04
2023-01-02 13:00:00,25538.0,20556.34,56.68
2023-01-02 14:00:00,26065.0,20612.5,56.26
2023-01-02 15:00:00,26383.0,21123.22,55.96
2023-01-02 16:00:00,27584.0,22473.57,55.67
2023-01-02 17:00:00,28531.0,25136.74,54.57
2023-01-02 18:00:00,28247.0,25458.02,52.29
2023-01-02 19:00:00,27534.0,25017.25,51.31
2023-01-02 20:00:00,26687.0,24354.19,50.63
2023-01-02 21:00:00,25708.0,23667.84,50.72
2023-01-02 22:00:00,24261.0,22599.04,50.83
2023-01-02 23:00:00,23056.0,21411.54,51.03
2023-01-03 00:00:00,22307.0,21366.34,51.15
2023-01-03 01:00:00,21904.0,20732.0,50.81
2023-01-03 02:00:00,21788.0,20426.15,50.79
2023-01-03 03:00:00,21641.0,20418.25,50.34
2023-01-03 04:00:00,21946.0,20955.64,49.71
2023-01-03 05:00:00,23374.0,22337.75,49.69
2023-01-03 06:00:00,25157.0,24383.01,49.8
2023-01-03 07:00:00,26452.0,25790.78,50.02
2023-01-03 08:00:00,27236.0,25706.05,50.4
2023-01-03 09:00:00,27155.0,24968.46,50.9
2023-01-03 10:00:00,27009.0,24201.09,52.03
2023-01-03 11:00:00,26613.0,23625.21,53.71
2023-01-03 12:00:00,26642.0,23255.43,55.13
2023-01-03 13:00:00,26488.0,23233.39,56.12
2023-01-03 14:00:00,26363.0,23248.09,57.13
2023-01-03 15:00:00,26880.0,23824.29,56.88
2023-01-03 16:00:00,27924.0,25120.07,56.7
2023-01-03 17:00:00,29039.0,27292.44,56.68
2023-01-03 18:00:00,28658.0,27516.13,56.61
2023-01-03 19:00:00,28139.0,26954.95,56.46
2023-01-03 20:00:00,27384.0,26147.22,56.66
2023-01-03 21:00:00,26306.0,25148.88,56.62
2023-01-03 22:00:00,24827.0,23709.68,56.68
2023-01-03 23:00:00,23738.0,22304.68,56.55
2023-01-04 00:00:00,23093.0,21681.23,56.53
2023-01-04 01:00:00,22544.0,21038.31,56.68
2023-01-04 02:00:00,22081.0,20591.21,56.75
2023-01-04 03:00:00,21890.0,20427.46,56.88
2023-01-04 04:00:00,22237.0,20742.76,56.93
2023-01-04 05:00:00,23017.0,22053.59,57.07
2023-01-04 06:00:00,24593.0,24171.46,56.98
2023-01-04 07:00:00,25750.0,25680.02,57.15
2023-01-04 08:00:00,26435.0,26076.38,57.2
2023-01-04 09:00:00,26439.0,25847.62,58.05
2023-01-04 10:00:00,26593.0,25430.94,58.95
2023-01-04 11:00:00,26421.0,25101.65,59.45
2023-01-04 12:00:00,26239.0,24854.14,59.5
2023-01-04 13:00:00,26064.0,24678.71,59.88
2023-01-04 14:00:00,25801.0,24508.11,59.85
2023-01-04 15:00:00,26007.0,24707.68,60.01
2023-01-04 16:00:00,27005.0,25520.96,59.56
2023-01-04 17:00:00,28124.0,27593.54,58.93
2023-01-04 18:00:00,27842.0,27769.09,58.51
2023-01-04 19:00:00,27060.0,27131.39,57.92
2023-01-04 20:00:00,26303.0,26266.93,57.13
2023-01-04 21:00:00,25228.0,25244.92,56.95
2023-01-04 22:00:00,23960.0,23768.57,56.73
2023-01-04 23:00:00,23283.0,22494.54,56.55
2023-01-05 00:00:00,22560.0,21697.95,56.3
2023-01-05 01:00:00,22111.0,21053.48,56.25
2023-01-05 02:00:00,21563.0,20616.41,55.76
2023-01-05 03:00:00,21035.0,20529.29,55.15
2023-01-05 04:00:00,21118.0,21020.37,54.75
2023-01-05 05:00:00,22192.0,22362.73,54.43
2023-01-05 06:00:00,24013.0,24517.57,54.21
2023-01-05 07:00:00,25299.0,25909.43,54.34
2023-01-05 08:00:00,26105.0,26087.31,54.82
2023-01-05 09:00:00,26705.0,25645.28,55.4
2023-01-05 10:00:00,27344.0,25165.9,56.68
2023-01-05 11:00:00,27279.0,24727.7,58.15
2023-01-05 12:00:00,27161.0,24488.34,59.63
2023-01-05 13:00:00,26262.0,24410.9,60.89
2023-01-05 14:00:00,25571.0,24461.93,61.23
2023-01-05 15:00:00,25424.0,24833.88,61.27
2023-01-05 16:00:00,26285.0,26047.51,59.65
2023-01-05 17:00:00,27665.0,28060.44,57.72
2023-01-05 18:00:00,27718.0,28152.7,56.34
2023-01-05 19:00:00,27155.0,27528.03,55.2
2023-01-05 20:00:00,26460.0,26761.86,53.71
2023-01-05 21:00:00,25516.0,25771.41,52.5
2023-01-05 22:00:00,24126.0,24218.23,51.51
2023-01-05 23:00:00,22873.0,22869.87,51.1
2023-01-06 00:00:00,22306.0,21959.42,50.47
2023-01-06 01:00:00,21889.0,21277.56,49.77
2023-01-06 02:00:00,21814.0,20842.13,49.06
2023-01-06 03:00:00,21661.0,20766.21,48.58
2023-01-06 04:00:00,21993.0,21275.6,48.29
2023-01-06 05:00:00,23211.0,22515.8,48.33
2023-01-06 06:00:00,24709.0,24668.4,48.09
2023-01-06 07:00:00,25747.0,25965.86,47.75
2023-01-06 08:00:00,25583.0,25673.58,49.26
2023-01-06 09:00:00,24790.0,24798.82,52.09
2023-01-06 10:00:00,23879.0,23927.88,55.36
2023-01-06 11:00:00,23362.0,23286.73,57.79
2023-01-06 12:00:00,22863.0,22984.57,60.57
2023-01-06 13:00:00,23102.0,22998.33,62.2
2023-01-06 14:00:00,23565.0,23252.88,63.21
2023-01-06 15:00:00,24029.0,23991.28,62.94
2023-01-06 16:00:00,25650.0,25360.58,61.25
2023-01-06 17:00:00,27208.0,27469.0,57.74
2023-01-06 18:00:00,27040.0,27517.69,55.22
2023-01-06 19:00:00,26596.0,26858.3,54.09
2023-01-06 20:00:00,26098.0,26121.33,53.71
2023-01-06 21:00:00,25312.0,25404.55,53.78
2023-01-06 22:00:00,24081.0,24224.13,53.29
2023-01-06 23:00:00,22929.0,22944.76,53.76
2023-01-07 00:00:00,22087.0,22070.49,53.49
2023-01-07 01:00:00,21719.0,21314.09,53.46
2023-01-07 02:00:00,21132.0,20782.59,53.69
2023-01-07 03:00:00,20870.0,20551.33,53.74
2023-01-07 04:00:00,21090.0,20669.27,52.93
2023-01-07 05:00:00,21777.0,21225.25,52.93
2023-01-07 06:00:00,22501.0,22098.67,53.15
2023-01-07 07:00:00,22995.0,22828.01,52.52
2023-01-07 08:00:00,23542.0,22861.85,53.15
2023-01-07 09:00:00,23228.0,22461.74,56.03
2023-01-07 10:00:00,22904.0,21907.98,59.16
2023-01-07 11:00:00,22206.0,21475.61,62.64
2023-01-07 12:00:00,22079.0,21204.1,65.48
2023-01-07 13:00:00,22126.0,21106.99,66.49
2023-01-07 14:00:00,22570.0,21336.93,66.13
2023-01-07 15:00:00,23299.0,22018.91,64.8
2023-01-07 16:00:00,24448.0,23451.29,63.03
2023-01-07 17:00:00,25780.0,25815.27,59.41
2023-01-07 18:00:00,25624.0,26047.57,57.36
2023-01-07 19:00:00,25245.0,25532.53,56.07
2023-01-07 20:00:00,24760.0,24897.33,55.56
2023-01-07 21:00:00,24156.0,24362.28,55.27
2023-01-07 22:00:00,23413.0,23345.29,54.7
2023-01-07 23:00:00,22403.0,22283.13,54.84
2023-01-08 00:00:00,21557.0,21305.57,53.78
2023-01-08 01:00:00,20751.0,20581.9,53.53
2023-01-08 02:00:00,20338.0,20083.38,53.06
2023-01-08 03:00:00,19955.0,19877.97,52.45
2023-01-08 04:00:00,19968.0,19907.54,51.71
2023-01-08 05:00:00,20422.0,20262.77,52.2
2023-01-08 06:00:00,21009.0,20983.98,51.67
2023-01-08 07:00:00,21522.0,21403.9,52.09
2023-01-08 08:00:00,21528.0,21477.76,52.99
2023-01-08 09:00:00,21002.0,21127.04,55.72
2023-01-08 10:00:00,20628.0,20666.2,58.89
2023-01-08 11:00:00,20397.0,20325.01,62.44
2023-01-08 12:00:00,20515.0,20257.54,63.5
2023-01-08 13:00:00,21032.0,20314.66,63.46
2023-01-08 14:00:00,21685.0,20651.72,64.87
2023-01-08 15:00:00,22434.0,21482.95,63.97
2023-01-08 16:00:00,23822.0,23082.01,62.62
2023-01-08 17:00:00,25609.0,25557.48,61.18
2023-01-08 18:00:00,25712.0,25998.72,59.52
2023-01-08 19:00:00,25345.0,25545.91,58.91
2023-01-08 20:00:00,24647.0,24906.91,58.41
2023-01-08 21:00:00,23581.0,24208.35,58.06
2023-01-08 22:00:00,22309.0,23011.22,57.74
2023-01-08 23:00:00,21121.0,21666.65,57.67
2023-01-09 00:00:00,20894.0,20766.1,57.42
2023-01-09 01:00:00,20833.0,20180.13,57.13
2023-01-09 02:00:00,21006.0,19856.18,57.27
2023-01-09 03:00:00,21066.0,19889.29,56.79
2023-01-09 04:00:00,21346.0,20485.02,56.14
2023-01-09 05:00:00,22353.0,21971.06,56.08
2023-01-09 06:00:00,24347.0,24270.75,55.09
2023-01-09 07:00:00,25998.0,25905.89,54.27
2023-01-09 08:00:00,26410.0,26327.42,54.21
2023-01-09 09:00:00,26749.0,26201.41,54.66
2023-01-09 10:00:00,26810.0,25874.76,55.49
2023-01-09 11:00:00,26935.0,25571.03,56.14
2023-01-09 12:00:00,26081.0,25423.82,55.63
2023-01-09 13:00:00,25702.0,25354.94,55.71
2023-01-09 14:00:00,25757.0,25342.6,55.49
2023-01-09 15:00:00,26172.0,25598.82,55.71
2023-01-09 16:00:00,27047.0,26472.3,56.32
2023-01-09 17:00:00,27979.0,28394.97,56.37
2023-01-09 18:00:00,27775.0,28533.02,56.91
2023-01-09 19:00:00,27147.0,27823.07,57.13
2023-01-09 20:00:00,26381.0,26846.47,57.02
2023-01-09 21:00:00,25403.0,25812.95,57.6
2023-01-09 22:00:00,23899.0,24245.05,57.83
2023-01-09 23:00:00,22630.0,22762.4,57.51
2023-01-10 00:00:00,22001.0,21649.28,57.06
2023-01-10 01:00:00,21445.0,20905.77,57.07
2023-01-10 02:00:00,21105.0,20439.32,56.91
2023-01-10 03:00:00,20972.0,20344.25,57.18
2023-01-10 04:00:00,21412.0,20836.38,57.11
2023-01-10 05:00:00,22511.0,22180.26,57.09
2023-01-10 06:00:00,24262.0,24522.27,57.24
2023-01-10 07:00:00,25820.0,26022.73,57.83
2023-01-10 08:00:00,26617.0,26103.05,58.53
2023-01-10 09:00:00,26812.0,25819.54,59.36
2023-01-10 10:00:00,26685.0,25433.45,58.82
2023-01-10 11:00:00,26747.0,25101.44,54.66
2023-01-10 12:00:00,26775.0,25074.23,54.9
2023-01-10 13:00:00,26263.0,25149.06,56.23
2023-01-10 14:00:00,25672.0,25306.09,57.49
2023-01-10 15:00:00,25855.0,25927.96,57.45
2023-01-10 16:00:00,26884.0,27008.01,57.52
2023-01-10 17:00:00,28281.0,28724.26,56.64
2023-01-10 18:00:00,28256.0,28788.02,54.81
2023-01-10 19:00:00,27701.0,28080.05,53.78
2023-01-10 20:00:00,27018.0,27080.46,52.97
2023-01-10 21:00:00,25916.0,26025.85,52.43
2023-01-10 22:00:00,24518.0,24448.6,51.51
